,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Wind Speed,Date
354,fortuna,40.6,-124.16,35.6,100,75,US,9.17,1605948246
355,kudahuvadhoo,2.67,72.89,83.07,70,26,MV,9.06,1605948246
356,christchurch,-43.53,172.63,60.01,54,46,NZ,6.93,1605948246
357,marzuq,14.4,46.47,78.46,19,8,YE,8.93,1605948247
358,neuquen,-38.95,-68.06,62.6,45,0,AR,8.05,1605947959
359,independence,39.09,-94.42,48.2,57,90,US,12.75,1605948247
360,shelburne,44.08,-80.2,37.0,76,55,CA,10.87,1605948248
361,cayenne,4.93,-52.33,75.2,100,25,GF,5.82,1605948248
362,maragogi,-9.01,-35.22,77.41,79,44,BR,10.69,1605948248
363,palora,-1.7,-77.93,64.96,90,100,EC,1.54,1605948248
364,meaford,44.6,-80.58,37.0,80,88,CA,1.99,1605948248
365,eatonton,33.33,-83.39,51.01,93,1,US,3.27,1605948249
366,bud,39.45,-86.18,48.0,93,90,US,9.08,1605948249
367,calvinia,-31.47,19.78,82.0,18,1,ZA,11.18,1605948250
368,kurumkan,54.3,110.3,6.85,86,64,RU,2.33,1605948250
369,amuntai,-2.42,115.25,77.65,96,100,ID,1.52,1605948250
370,ketchikan,55.34,-131.65,35.6,100,90,US,5.55,1605948250
371,luena,-11.78,19.92,74.62,72,99,AO,5.19,1605948251
372,morros,-9.45,-46.3,71.73,89,87,BR,1.36,1605948251
373,linxi,39.7,118.43,35.33,79,100,CN,9.06,1605948251
374,namatanai,-3.67,152.43,80.92,75,94,PG,10.47,1605948252
375,ulladulla,-35.35,150.47,66.2,77,90,AU,5.82,1605948252
376,zeya,53.75,127.27,9.63,91,100,RU,4.54,1605948188
377,chumphon,10.33,98.83,91.4,66,75,TH,3.36,1605948252
378,buin,-33.73,-70.75,51.01,87,0,CL,3.36,1605948253
379,inirida,3.87,-67.92,72.79,98,100,CO,1.97,1605948253
380,sibolga,1.74,98.78,75.87,88,97,ID,4.5,1605948253
381,karpogory,64.0,44.45,31.46,97,100,RU,10.16,1605948253
382,trinidad,-14.83,-64.9,68.22,68,9,BO,2.44,1605948254
383,basco,20.45,121.97,79.68,79,6,PH,18.52,1605948254
384,salina,38.84,-97.61,46.99,52,1,US,8.05,1605948001
